nproc,mean_time,std_dev,speedup
1,5.52099872000399,0.5122148002493364,1.0
2,4.724561729992274,0.08095688759808252,1.1685737292743592
4,2.9634028099972056,0.05128963907058487,1.8630604996993967
8,2.271429120004177,0.06313087081605151,2.430627780273345
