t,theta1,omega1,theta2,omega2,energy
0.0,1.5707963267948966,0.0,1.5767963267948966,0.0,0.05885964684063394
0.001,1.5707914217949688,-0.009809999711122208,1.5767963267947522,-5.777069864527346e-10,0.05885964684063487
0.002,1.5707767067960532,-0.019619997685143147,1.576796326792584,-4.628263222673484e-09,0.05885964684063553
0.003,1.5707521818007628,-0.029429992165139966,1.57679632678317,-1.5658498501761516e-08,0.05885964684063653
0.004,1.5707178468134857,-0.0392399813545468,1.5767963267577503,-3.7243203487977236e-08,0.05885964684063642
0.005,1.5706737018404349,-0.049049963397333626,1.5767963267039418,-7.305910957075058e-08,0.058859646840636486
0.006,1.570619746889717,-0.058859936358185504,1.5767963266056197,-1.2691886802288227e-07,0.058859646840633696
0.007,1.5705559819714223,-0.06866989820268246,1.5767963264427647,-2.028050282007192e-07,0.05885964684063428
0.008,1.570482407097733,-0.0784798467774801,1.5767963261912754,-3.0490401452570236e-07,0.05885964684063362
0.009000000000000001,1.5703990222830524,-0.08828977979049106,1.5767963258227482,-4.376401019579218e-07,0.05885964684063199
0.01,1.5703058275441537,-0.09809969479106771,1.5767963253042219,-6.05709389644543e-07,0.05885964684063183
0.011,1.570202822900348,-0.10790958915018606,1.576796324597889,-8.141137724068983e-07,0.05885964684062744
0.012,1.570090008373673,-0.11771946004063123,1.5767963236607738,-1.0681949097048583e-06,0.05885964684062407
0.013000000000000001,1.5699673839891013,-0.1275293044171848,1.5767963224443742,-1.373668191665089e-06,0.058859646840621074
0.014,1.5698349497747675,-0.137339118996814,1.576796320894272,-1.7366567017141267e-06,0.058859646840620145
0.015,1.5696927057622163,-0.1471489002388635,1.5767963189497074,-2.1637251753669945e-06,0.058859646840615176
0.016,1.5695406519866708,-0.15695864432524975,1.5767963165431218,-2.6619139545848677e-06,0.05885964684061356
0.017,1.5693787884873185,-0.16676834714065833,1.5767963135996637,-3.2387729371643936e-06,0.0588596468406109
0.018000000000000002,1.5692071153076192,-0.17657800425274478,1.5767963100366627,-3.9023955204842944e-06,0.058859646840605954
0.019,1.5690256324956322,-0.18638761089233927,1.5767963057630696,-4.661452538920269e-06,0.05885964684060377
0.02,1.568834340104362,-0.19619716193365552,1.576796300678861,-5.525226194157543e-06,0.05885964684059813
0.021,1.5686332381921262,-0.20600665187450462,1.5767962946744118,-6.503643977587634e-06,0.05885964684059451
0.022,1.5684223268229402,-0.21581607481651413,1.5767962876298327,-7.607312583878484e-06,0.05885964684059067
0.023,1.5682016060669248,-0.22562542444535313,1.5767962794142736,-8.847551814733237e-06,0.058859646840586574
0.024,1.567971076000731,-0.2354346940109639,1.576796269885194,-1.0236428471795445e-05,0.058859646840582945
0.025,1.567730736707986,-0.2452438763078008,1.5767962588875994,-1.1786790237573024e-05,0.05885964684057848
0.026000000000000002,1.5674805882797584,-0.2550529636550773,1.5767962462532428,-1.351229954313455e-05,0.058859646840572974
0.027,1.5672206308150438,-0.26486194787702144,1.576796231799793,-1.5427467421292437e-05,0.05885964684056741
