t,theta1,omega1,theta2,omega2,energy
0.0,1.5707963267948966,0.0,1.5877963267948965,0.0,0.16676196736106974
0.001,1.570791421795101,-0.009809999182200452,1.5877963267944875,-1.635776544061327e-09,0.16676196736106688
0.002,1.5707767067981686,-0.019619993453774555,1.5877963267883515,-1.3092811268690201e-08,0.166761967361065
0.003,1.5707521818114731,-0.02942997788430239,1.5877963267617439,-4.422629980362242e-08,0.1667619673610651
0.004,1.5707178468473362,-0.0392399475037773,1.5877963266900337,-1.0495931202937951e-07,0.16676196736106233
0.005,1.5706737019230779,-0.04904989728281349,1.587796326538619,-2.0531672760136721e-07,0.16676196736106197
0.006,1.5706197470610854,-0.05885982211285483,1.5877963262628076,-3.554591695063483e-07,0.16676196736105958
0.007,1.5705559822889026,-0.06866971678638527,1.587796325807665,-5.657169350151152e-07,0.16676196736105767
0.008,1.5704824076393382,-0.07847957597714121,1.5877963251078273,-8.466239233364756e-07,0.16676196736105467
0.009000000000000001,1.5703990231505953,-0.0882893942203264,1.5877963240872808,-1.2089515592637668e-06,0.16676196736105517
0.01,1.5703058288664187,-0.0980991658928296,1.5877963226591072,-1.6637427121141275e-06,0.16676196736105098
0.011,1.570202824836264,-0.10790888519344573,1.587796320725196,-2.222345609154176e-06,0.16676196736104634
0.012,1.5700900111154856,-0.11771854612310066,1.5877963181759214,-2.8964477427895894e-06,0.166761967361044
0.013000000000000001,1.5699673877655438,-0.1275281424650805,1.5877963148897862,-3.6981097706518713e-06,0.16676196736104268
0.014,1.5698349548542325,-0.13733766776526565,1.5877963107330322,-4.6397994077517545e-06,0.1667619673610405
0.015,1.569692712455927,-0.14714711531237015,1.5877963055592152,-5.734425309773871e-06,0.16676196736103535
0.016,1.5695406606518507,-0.1569564781181872,1.5877962992087487,-6.995370946595936e-06,0.16676196736103324
0.017,1.5693787995303616,-0.16676574889784096,1.5877962915084103,-8.43652846498622e-06,0.16676196736102952
0.018000000000000002,1.5692071291872596,-0.17657492005004596,1.5877962822708176,-1.0072332539469227e-05,0.1667619673610284
0.019,1.5690256497261117,-0.186383983637374,1.5877962712938678,-1.1917794210227992e-05,0.1667619673610251
0.02,1.568834361258599,-0.19619293136652985,1.587796258360145,-1.3988534706859074e-05,0.16676196736102167
0.021,1.5686332639048821,-0.20600175456863637,1.587796243236293,-1.6300819256762737e-05,0.16676196736101628
0.022,1.5684223577939864,-0.2158104441795296,1.5877962256723541,-1.8871590876830137e-05,0.16676196736101342
0.023,1.5682016430642072,-0.22561899072006494,1.5877962054010746,-2.1718504147067278e-05,0.16676196736100954
0.024,1.5679711198635347,-0.23542738427643525,1.5877961821371762,-2.485995896467051e-05,0.16676196736100446
0.025,1.5677307883500984,-0.24523561448050163,1.5877961555765945,-2.8315134277025306e-05,0.16676196736099863
0.026000000000000002,1.5674806486926316,-0.25504367049013804,1.587796125395682,-3.210402179199904e-05,0.16676196736099486
0.027,1.5672207010709545,-0.26485154096959096,1.5877960912503797,-3.624745966378439e-05,0.16676196736099053
0.028,1.566950945676478,-0.27465921406985455,1.5877960527753525,-4.076716615252201e-05,0.16676196736098442
0.029,1.5666713827127274,-0.2844666774090634,1.5877960095830936,-4.56857732557654e-05,0.16676196736097965
0.03,1.5663820123958838,-0.29427391805290315,1.587795961262993,-5.102686030978035e-05,0.1667619673609743
0.031,1.5660828349553473,-0.30408092249504104,1.5877959073803738,-5.6814987558589154e-05,0.16676196736096832
0.032,1.5657738506343184,-0.3138876766375771,1.5877958474754943,-6.307572968850664e-05,0.16676196736096244
0.033,1.5654550596903996,-0.32369416577151783,1.587795781062517,-6.983570932586982e-05,0.16676196736095597
0.034,1.5651264623962158,-0.33350037455727366,1.587795707628444,-7.712263049548854e-05,0.16676196736095042
0.035,1.5647880590400551,-0.34330628700518173,1.5877956266320183,-8.496531203726752e-05,0.1667619673609447
0.036000000000000004,1.5644398499265284,-0.35311188645605585,1.5877955375025936,-9.339372097831388e-05,0.16676196736093957
0.037,1.5640818353772483,-0.3629171555617647,1.587795439638968,-0.00010243900585769545,0.16676196736093274
