t,theta1,omega1,theta2,omega2,energy
0.0,1.5707963267948966,0.0,1.5797963267948967,0.0,0.08828880808982663
0.001,1.5707914217950047,-0.00980999956680924,1.5797963267946802,-8.663576256804198e-10,0.08828880808982544
0.002,1.5707767067966303,-0.019619996530640366,1.5797963267914297,-6.9374668479097025e-09,0.08828880808982699
0.003,1.570752181803685,-0.02942998826869868,1.5797963267773252,-2.34520521247847e-08,0.08828880808982759
0.004,1.5707178468227214,-0.039239972118556524,1.579796326739277,-5.5716783304224286e-08,0.08828880808982513
0.005,1.5706737018629833,-0.04904994535833732,1.5797963266588406,-1.0914024746123507e-07,0.08828880808982392
0.006,1.5706197469364738,-0.05885990518690027,1.5797963265120978,-1.8926691968428668e-07,0.0882888080898235
0.007,1.570555982058045,-0.06866984870402584,1.5797963262695038,-3.0181113246752863e-07,0.08828880808982352
0.008,1.5704824072455073,-0.07847977289060248,1.5797963258957004,-4.5269104330326345e-07,0.08828880808982112
0.009000000000000001,1.5703990225197577,-0.08828967458881451,1.579796325349295,-6.480626000865196e-07,0.08828880808982047
0.01,1.5703058279049287,-0.09809955048233168,1.5797963245826063,-8.94353503918775e-07,0.08828880808981693
0.011,1.5702028234285568,-0.10790939707650064,1.5797963235413752,-1.1982971688208053e-06,0.08828880808981766
0.012,1.5700900091217702,-0.11771921067853852,1.579796322164442,-1.566966677911114e-06,0.08828880808981733
0.013000000000000001,1.5699673850194975,-0.12752898737772897,1.57979632038339,-2.0078087355123813e-06,0.08828880808981635
0.014,1.569834951160695,-0.13733872302562106,1.579796318122155,-2.528677614632329e-06,0.08828880808981428
0.015,1.569692707588595,-0.14714841321623134,1.5797963152966006,-3.1378690992041763e-06,0.08828880808981299
0.016,1.569540654350972,-0.1569580532662495,1.5797963118140594,-3.844154420474405e-06,0.08828880808981023
0.017,1.5693787915004316,-0.166767638195248,1.5797963075728412,-4.656814186781108e-06,0.08828880808980505
0.018000000000000002,1.569207119094716,-0.17657716270589616,1.5797963024617063,-5.585672306025801e-06,0.08828880808980043
0.019,1.5690256371970321,-0.1863866211641792,1.5797962963593053,-6.641129899995635e-06,0.08828880808979585
0.02,1.5688343458763967,-0.19619600757962283,1.5797962891335848,-7.834199209652128e-06,0.08828880808979019
0.021,1.5686332452080038,-0.20600531558552376,1.5797962806411598,-9.176537490482985e-06,0.08828880808978556
0.022,1.5684223352736106,-0.21581453841918696,1.5797962707266513,-1.0680480896845157e-05,0.08828880808978165
0.023,1.568201616161943,-0.22562366890217028,1.5797962592219903,-1.2359078354268931e-05,0.08828880808977593
0.024,1.5679710879691215,-0.235432699420537,1.579796245945689,-1.4226125418520073e-05,0.08828880808977362
0.025,1.5677307507991067,-0.24524162190511717,1.5797962307020756,-1.6296198120194378e-05,0.08828880808977069
0.026000000000000002,1.5674806047641638,-0.2550504278117787,1.579796213280499,-1.8584686793488556e-05,0.08828880808976483
0.027,1.5672206499853483,-0.2648591081017087,1.5797961934544962,-2.1107829887740677e-05,0.08828880808976075
0.028,1.5669508865930097,-0.2746676532217063,1.5797961709809272,-2.3882747760224524e-05,0.08828880808975757
0.029,1.5666713147273164,-0.28447605308448765,1.579796145599077,-2.6927476448575086e-05,0.08828880808975319
0.03,1.5663819345387988,-0.29428429704900466,1.5797961170297226,-3.0261001421118618e-05,0.08828880808974549
0.031,1.5660827461889142,-0.3040923739007779,1.5797960849741666,-3.3903291303315356e-05,0.08828880808973763
0.032,1.5657737498506288,-0.3139002718322452,1.5797960491132377,-3.787533157835158e-05,0.08828880808973155
0.033,1.5654549457090212,-0.32370797842312726,1.5797960091062564,-4.219915825987639e-05,0.08828880808972799
0.034,1.5651263339619046,-0.33351548062081116,1.579795964589968,-4.689789153468213e-05,0.08828880808972134
0.035,1.5647879148204695,-0.3433227647207539,1.5797959151774412,-5.1995769373081296e-05,0.08828880808971615
0.036000000000000004,1.5644396885099447,-0.3531298163469065,1.5797958604569344,-5.751818110456582e-05,0.08828880808970843
0.037,1.5640816552702794,-0.3629366204321609,1.5797957999907266,-6.349170095621011e-05,0.08828880808970174
